,Category,Link,Content
10,political,https://en.setopati.com/political/160822,"Mayor of Kathmandu Metropolitan City (KMC) Balen Shah has asked the federal government to shift the Singha Durbar to another local body if it does not work for the benefit of Kathmandu.
Taking to the social media on Thursday after he unilaterally stopped collection of garbage from the Singha Durbar, the Shital Niwas and residence of ministers from Sunday, he has stated that Kathmanduites will not have any problem even if the federal capital or the Singha Durbar were shifted from Kathmandu.
“Either you work for the interest of Kathmandu or shift Singha Durbar to another local body. We Kathmanduites don’t have any problem whether you shift Singha Durbar or capital,” Shah has posted.
He has added that the people of Kathmandu want heritage, culture, arts and civilization but not politics.
Mayor Shah had taken to the Facebook on Saturday even to announce stopping collection of garbage from the Singha Durbar taking everyone including Deputy Mayor Sunita Dangol by surprise.
Taking to Facebook a day after he unilaterally stopped collection of garbage from the Singha Durbar, Shah blamed the federal government for lack of coordination with the local government despite his continuous efforts for nine months. “The conclusion until now of the disregard, irresponsibility and negligence toward the repeated efforts made is the decision to not collect garbage from the Singha Durbar,” Shah posted.
He urged the federal government to untie the knots for resolution of the local problems at the local level.
“How can we say that the government that does not listen to the another government and people’s representatives, and understand and prioritize (their problems) accept the existence of one another? How can we say that the federal government is for strengthening federalism?”
He also listed how the efforts he has made to coordinate with 14 different federal ministries to resolve problems including management of squatters, traffic lights, footpath encroached by diplomatic missions, hospitals, expansion of the Ring Road, street lights and others have failed to yield results due to apathy of the federal government.
Garbage was not collected even from the residence of the president, the prime minister and the federal ministers on Sunday.
Shah did not discuss the issue with other elected representatives or KMC staffers and took the decision unilaterally.
An organization named Paribartan Nepal collects garbage from the Singha Durbar and Manager of the organization Mitra Ghimire told Setopati that Mayor Shah instructed the body to not collect garbage."
11,political,https://en.setopati.com/political/160821,"The decision of Rastriya Swatantra Party (RSP) to replace Dhaka Kumar Shrestha, who was elected to the House of Representatives (HoR) through the Proportional Representation electoral system, with Bindabasini Kansakar has created grievances in the party.
Central member Megh Ale has expressed disappointment pointing that his name is below that of Shrestha in the indigenous male cluster of the closed list for PR lawmakers sent by the party to the Election Commission before the general election.
The party formed by Rabi Lamichhane just before the election had held voting among its central members to determine ranking of the leaders in the PR list.
“I will struggle within the party. But the party appears to be doing good in the mindset of the people. We will move forward in agreement in the election environment,” Ale told Setopati.
When asked if he will lodge a complaint with the Election Commission he stated, “I will try to understand what the issue is. But there is no talk about complaining.”
The party’s central committee meeting held on Wednesday decided to punish Shrestha after audio recording of him purportedly demanding Rs 20 million from promoter of B&C Medical College Durga Prasai was made public and send acid attack victim Bindabasini Kansakar as HoR member through the PR electoral system to replace Shrestha.
Kapurbot Media on Sunday had published audio recording of what it claims is the deal between Shrestha and Prasai.
Shrestha can be heard telling Prasai that the amount was needed to give to RSP President Rabi Lamichhane’s men for Shrestha to become health minister.
The conversation took place at the start of January, as Prasai informs in the audio, when RSP was negotiating in the then ruling coalition also including CPN-UML to get the Health Ministry. Shrestha can be heard telling Prasai that Lamichhane would make him heath minister only if he hands over Rs 20-25 million to Lamichhane's men."
12,political,https://en.setopati.com/political/160818,"Rastriya Swatantra Party (RSP) has removed Dhaka Kumar Shrestha from lawmaker and party member after the audio recording of a phone conversation alleged to be between him and businessman Durga Prasai.
The party’s central committee meeting held on Wednesday has decided to punish Shrestha after audio recording of him purportedly demanding Rs 20 million from promoter of B&C Medical College Durga Prasai was made public.
Talking to reporters after the meeting RSP President Lamichhane said that Shrestha was removed after finding enough grounds to punish him despite him denying that the voice on the audio was not his.
Kapurbot Media on Sunday had published audio recording of what it claims is the deal between Shrestha and Prasai.
Shrestha, who was elected to the House of Representatives (HoR) through the Proportional Representation electoral system, can be heard telling Prasai that the amount was needed to give to RSP President Rabi Lamichhane’s men for Shrestha to become health minister.
The conversation took place at the start of January, as Prasai informs in the audio, when RSP was negotiating in the then ruling coalition also including CPN-UML to get the Health Ministry. Shrestha can be heard telling Prasai that Lamichhane would make him heath minister only if he hands over Rs 20-25 million to Lamichhane's men.
Lamichhane also revealed that Shrestha threatened the party’s discipline committee to finish RSP if he were punished. “He has been repeatedly changing his version. His guilt was proven also because the audio was recorded in January. He was allowed to present his version (in the party) repeatedly,” Lamichhane stated. “He also wished that he were not removed but also warned that he would show the party if he were punished.”
He claimed that he did not know who Shrestha was referring to as his men in the ‘core team’ in the audio recording. “Why not punish if facts are uncovered about the core team? He has now come to one level of bargaining. What should be known is we will assist the CIAA,” Lamichhane stressed.
Lamichhane added that Shrestha had the option of appealing with the party if he were not satisfied with the decision to punish him.
The party had suspended Shrestha immediately after the audio recording was made public and instructed the central discipline and conduct committee to investigate facts about the telephone conversation and submit the report to the central committee within three days.
RSP has also decided to send acid attack victim Bindabasini Kansakar as HoR member through the PR electoral system to replace Shrestha."
13,political,https://en.setopati.com/political/160817,"CPN-UML Secretary Yogesh Bhattarai has taken exception to CPN (Unified Socialist) Chairman Madhav Kumar Nepal’s claims that the main opposition party is working for House dissolution.
Talking with reporters at the Federal Parliament Building in New Baneshwore on Wednesday Bhattarai has asked how a party in the opposition can dissolve the House.
Talking with reporters in Sunsari earlier on Wednesday Nepal, who formed the party after splitting from UML, claimed that UML wanted mid-term election after House dissolution.
“The Madhav Nepal that I know does not use unnecessary substances (sic). I know Madhav Nepal as someone who is little far from alcohol and smoking,” Bhattarai, who was in the Khanal-Nepal faction of UML but chose to remain in UML led by KP Sharma Oli instead of joining Unified Socialist formed by the Khanal-Nepal faction, has stated.
He has also called Nepal’s accusation a bit suspicious. “How can a party that is in the opposition dissolve the House? What is he saying? Is he dreaming or awake? Seeing that a person who has run a big party for 15 years and has already become prime minister, such a seasoned politician speak like this…he seems to have changed a lot in the past one and a half years.”"
14,political,https://en.setopati.com/political/160816,"Rastriya Swatantra Party (RSP) lawmaker Dhaka Kumar Shrestha has said that the release of an audio recording of a phone conversation alleged to be between him and businessman Durga Prasai just ahead of the April 23 by-elections is a conspiracy against the party.
Shrestha organized a press conference on Wednesday evening while the RSP central committee meeting was underway to take a decision on him over the audio recording controversy.
He said that he has already gone to court regarding the matter and will soon get a clean chit from the court.
Shrestha has also claimed that the audio recording has been edited and that the voice in the recording is not his.
However, Shrestha did not respond to journalists’ questions."
15,political,https://en.setopati.com/political/160814,"The government has prepared a working procedure for providing Rs 200,000 each to the then “disqualified"" Maoist combatants.
According to Binod Prakash Singh, secretary at the Home Ministry, the working procedure has already been prepared.
The Cabinet meeting on March 20 had announced the decision to distribute Rs 200,000 each to the “disqualified” Maoist combatants. The government had drawn criticism for its decision to distribute money from the state coffers to Maoist cadres who had been verified as non-combatants by UNMIN.
According to Nepali Congress Chief Whip Ramesh Lekhak, Prime Minister Pushpa Kamal Dahal had told the ruling coalition meeting on March 22 that no such decision had been taken.
Secretary Singh said that they worked accordingly after the Cabinet decision to prepare a working procedure for distributing money to the disqualified combatants.
“As per the working procedure, we will now verify with the District Administration Office concerned the names of those who are to receive the money,” Singh told Setopati. “Maybe the money distribution will begin within a month at the latest.”
According to Singh, the Home Ministry has the names of 4,008 Maoists disqualified by UNMIN. The District Administration Offices will verify whether those people are in the district or municipality concerned or not.
“There is also the organization of discharged combatants. We also have asked them for names. We will send the names provided by UNMIN to the districts concerned and verify whether they are there or not. We have also formed a committee headed by the Home Ministry’s deputy secretary to inquire further about the names sent by the districts,” Singh said. “People on the list are abroad, we will provide them money after 2-3 months.”
As per the working procedure, Rs 200,000 is to be deposited in the bank account of each disqualified combatant.
“We won’t give money to everybody at the same time, the Finance Ministry has also said that the money will be release in installments,” Singh said."
16,political,https://en.setopati.com/political/160813,"CPN (Maoist Center) Chairman Madhav Kumar Nepal has accused the main opposition CPN-UML of working for House dissolution.
Talking with reporters in Sunsari on Wednesday Nepal, who formed the party after splitting from UML, claimed that UML wanted mid-term election after House dissolution.  He added that Unified Socialist would not support the unconstitutional act of dissolving the House.
When asked if there is chance of unification with UML Nepal pointed that there was chance of discussion about unification with those having similar ideology but ruled that out with UML Chairman KP Sharma Oli.
He claimed that UML leaders were talking about chance of again dissolving the House and going for mid-term election. “We cannot tread that path. We cannot support the act of violating the Constitution,” he added.
He called exit of some individuals from the party an issue of individual choice and added that entering a party or leaving it was a regular process."
17,political,https://en.setopati.com/political/160809,"The disciplinary committee of Rastriya Swatantra Party (RSP) has taken lawmaker Dhaka Kumar Shrestha’s statement regarding the audio recording of a phone conversation purported to be between him and businessman Durga Prasai.
Shrestha has said in his statement that the audio recording where a person is heard demanding Rs 20 million from Prasai is not his.
Shrestha has claimed that the audio recording of the phone conversation with Prasai has been edited.
Bharat Mani Devkota, head of the disciplinary committee, said that lawmaker Shrestha was questioned about the audio recording.
“We have prepared a report based on his clarification and statement. The central committee will take further decision regarding it,” Devkota said. “He has claimed that his audio has been edited.""
Kapurbot Media on Sunday published an audio recording of what it claims is a deal of Rs 20 million between Shrestha and Prasai. Shrestha can be heard telling Prasai that the amount is needed to be given to RSP President Rabi Lamichhane’s men for Shrestha to become health minister.
The conversation took place at the start of January, as Prasai informs in the audio, when RSP was negotiating in the then ruling coalition also including CPN-UML to get the Health Ministry. Shrestha can be heard telling Prasai that Lamichhane would make him heath minister only if he hands over Rs 20-25 million to Lamichhane's men.
On Monday, Kapurbot Media released another audio recording believed to be a phone call Shrestha had made to Yadu Gautam, a member of Prasai’s team, after the first audio recording was released on Sunday. Also, a person who calls himself Shrestha’s bhai (younger brother) is heard talking to Prasai in the earlier part of the audio recording.
Shrestha was elected to the House of Representatives (HoR) through the Proportional Representation electoral system.
Also read:

Audio recording of RSP lawmaker Shrestha demanding Rs20M from Durga Prasai public (With audio)
RSP lawmaker Shrestha submits clarification on audio recording
Second audio recording of RSP lawmaker Dhaka Kumar Shrestha made public (With audio)"
18,political,https://en.setopati.com/political/160807,"A meeting of top leaders of three major parties held at the speaker’s residence in Baluwatar has agreed to make bills including the one on Truth and Reconciliation Commission (TRC) just and acceptable to all.
Prime Minister and CPN (Maoist Center) Chairman Pushpa Kamal Dahal, Nepali Congress President Sher Bahadur Deuba and CPN-UML Chairman KP Sharma Oli reached such an agreement during a discussion on Tuesday morning. Along with Speaker Devraj Ghimire, other leaders of the three parties were also present in the meeting.
“It has been agreed to make TRC and other bills just and acceptable to all. Discussion will be held again on the issues and the process,” the speaker’s secretariat said.
The leaders have also agreed to finalize the leadership and representation of the joint committee and other committees in consensus.
The next meeting is scheduled to take place at Singha Durbar on Friday."
19,political,https://en.setopati.com/political/160805,"A second audio recording of Rastriya Swatantra Party (RSP) lawmaker Dhaka Kumar Shrestha has been made public.
A day after releasing an audio recording of a phone conversation between Shrestha and businessman Durga Prasai, Kapurbot TV has published another audio recording on Monday.
According to Kapurbot TV, the second audio recording includes a phone call Shrestha had made to Yadu Gautam, a member of Prasai’s team, after the first audio recording was released on Sunday.
In the latter part of the audio recording published on Monday, a person, purportedly Shrestha, can be heard telling Gautam that it would make things easier for him if Prasai spoke in his favor.
He requests the other person, purportedly Gautam, for mediation saying it would send a positive message and make things easier if Prasai spoke about his audio. He also says there is no use stretching the matter further.
The other person says he is inside a vehicle and then disconnects the call saying they would discuss the matter later.
Also read:

Audio recording of RSP lawmaker Shrestha demanding Rs20M from Durga Prasai public (With audio)
RSP lawmaker Shrestha submits clarification on audio recording

In the earlier part of the audio, a person who calls himself Shrestha’s bhai (younger brother) calls Prasai.
Shrestha’s brother tells Prasai that the party will now take action against Shrestha and that he will lose the post of lawmaker.
Prasai says it’s not Shrestha’s fault but rather of those who made him ask for money, and asks how he can help in the matter.
Shrestha’s brother then says Prasai should understand that his brother has been made a scapegoat and that he wishes to meet Prasai.
Prasai asks him to tell Shrestha to meet in the evening, saying he is attending a microfinance event in Birgunj. He also expresses displeasure at the fact that party chiefs take money for making lawmaker and also for making minister.
Kapurbot TV has also published a video of the person who calls himself Shrestha’s brother.
Kapurbot Media on Sunday published an audio recording of what it claims is a deal of Rs 20 million between Shrestha and Prasai. Shrestha can be heard telling Prasai that the amount is needed to be given to RSP President Rabi Lamichhane’s men for Shrestha to become health minister.
The conversation took place at the start of January, as Prasai informs in the audio, when RSP was negotiating in the then ruling coalition also including CPN-UML to get the Health Ministry. Shrestha can be heard telling Prasai that Lamichhane would make him heath minister only if he hands over Rs 20-25 million to Lamichhane's men.
Shrestha was elected to the House of Representatives (HoR) through the Proportional Representation electoral system."
20,political,https://en.setopati.com/political/160804,"Rastriya Swatantra Party (RSP) lawmaker Dhaka Kumar Shrestha has submitted clarification to the party regarding the audio recording in which he is heard demanding Rs 20 million from businessman Durga Prasai.
The disciplinary committee of RSP had asked Shrestha to furnish clarification within 24 hours after the audio recording was released on Sunday.
Bharat Mani Devkota, head of the disciplinary committee, told Setopati that Shrestha submitted his clarification via WhatsApp on Monday.
“I read the clarification. We will now hold a disciplinary committee meeting tomorrow. The central committee had given us 72 hours. We will complete our work within 48 hours and submit our report,” Devkota said.
The disciplinary committee comprises four members. Devkota said that the committee will hold a meeting on Tuesday morning and make its recommendation to the central committee after arriving at a conclusion.
According to Devkota, Shrestha has said in his clarification that the voice in the audio recording is not his.
“He [Shrestha] has said that the audio is edited. However, he has said that he is ready to accept whatever decision the disciplinary committee takes,” Devkota said. “He has said that any kind of decision the party takes would be acceptable to him.”
Shrestha has also commented on the problems in the health sector, according to Devkota.
“He has explained about the need for reforms in the health sector. He has stated that there is still a lot of room for improvement even though it is doing well,” Devkota said.
Kapurbot Media on Sunday published an audio recording of what it claims is a deal between Shrestha and Prasai. Shrestha can be heard telling Prasai that the amount is needed to be given to RSP President Rabi Lamichhane’s men for Shrestha to become health minister.
The conversation took place at the start of January, as Prasai informs in the audio, when RSP was negotiating in the then ruling coalition also including CPN-UML to get the Health Ministry. Shrestha can be heard telling Prasai that Lamichhane would make him heath minister only if he hands over Rs 20-25 million to Lamichhane's men.
Shrestha was elected to the House of Representatives (HoR) through the Proportional Representation electoral system."
21,social,https://en.setopati.com/social/160577,"The Home Ministry has increased surveillance of activities of medical entrepreneur Durga Prasai.
Prasai—who has recently started a campaign to save nation, nationalism, religion, culture, and citizens—has also been organizing different programs accusing banks and financial institutions of excesses.
“We have been observing activities of Durga Prasai. All the bodies routinely carry out political and economic analysis and not just observe him. We will bring to book of there is obstruction in public service, and citizens are hassled,” Information Officer with the Home Ministry Dil Kumar Tamang told Setopati.
The Prasai-led campaign has started the campaign of smearing soot on staffers of banks and financial institutions for their ‘excesses’ from Chitwan. Coordinator of the campaign Shambhu Thapa was arrested by Chitwan Police Wednesday morning for vitiating public environment by spreading rumors in the society through unnatural and demeaning remarks.
Thapa, former Chitwan chief of the Maoist youth wing Young Communist League (YCL), is under investigation and the police will decide on the type of case to be filed against him after investigation.
Different organizations of commercial and development banks, and financial and micro-finance institutions had handed over memorandum letter to the Home Ministry demanding security guarantee after Prasai started the campaign of smearing soot. The Home Ministry on March 3 then instructed all 77 district police offices to provide security to staffers of banks and financial institutions, and stop such incidents of misbehavior.
“Those violating laws, taking the laws into hands and carrying out prohibited activities in the name of campaign will be arrested. They won’t be arrested for merely joining the campaign though,” Tamang stated.
He said Thapa may have been arrested as per the Home Ministry’s instruction, and added that case can be filed against Thapa by the police itself if there are no complaints against him.
Prasai, who is close to CPN-UML Chairman KP Sharma Oli who has nominated him as central member of the party, was expelled from the party on February 25 after he started a political campaign along with former king Gyanendra Shah and his son Paras on February 13."
